Currency Name,Currency Code
港元,HKD
澳门元,MOP
人民币元,CNY
圆,KPW
越南盾,VND
日圆,JPY
基普,LAK
瑞尔,KHR
菲律宾比索,PHP
马元,MYR
新加坡元,SGD
泰铢,THP
缅元,BUK
斯里兰卡卢比,LKR
马尔代夫卢比,MVR
盾,IDR
巴基斯坦卢比,PRK
卢比,INR
尼泊尔卢比,NPR
阿富汗尼,AFA
伊朗里亚尔,IRR
伊拉克第纳尔,IQD
叙利亚镑,SYP
黎巴嫩镑,LBP
约旦第纳尔,JOD
亚尔,SAR
科威特第纳尔,KWD
巴林第纳尔,BHD
卡塔尔里亚尔,QAR
阿曼里亚尔,OMR
也门里亚尔,YER
也门第纳尔,YDD
土耳其镑,TRL
塞浦路斯镑,CYP
欧元,EUR
冰岛克朗,ISK
丹麦克朗,DKK
挪威克朗,NOK
瑞典克朗,SEK
芬兰马克,FIM
卢布,SUR
兹罗提,PLZ
捷克克朗,CSK
福林,HUF
马克,DEM
奥地利先令,ATS
瑞士法郎,CHF
荷兰盾,NLG
比利时法郎,BEF
卢森堡法郎,LUF
英镑,GBP
爱尔兰镑,IEP
法郎,FRF
比塞塔,ESP
埃斯库多,PTE**
里拉,ITL
马耳他镑,MTP
南斯拉夫新第纳尔,YUD
列伊,ROL
列弗,BGL
列克,ALL
德拉马克,GRD
加元,CAD
美元,USD
墨西哥比索,MXP
格查尔,GTQ
萨尔瓦多科朗,SVC
伦皮拉,HNL
科多巴,NIC
哥斯达黎加科朗,CRC
巴拿马巴波亚,PAB
古巴比索,CUP
巴哈马元,BSD
牙买加元,JMD
古德,HTG
多米尼加比索,DOP
特立尼达多巴哥元,TTD
巴巴多斯元,BBD
哥伦比亚比索,COP
博利瓦,VEB
圭亚那元,GYD
苏里南盾,SRG
新索尔,PES
苏克雷,ECS
新克鲁赛罗,BRC
玻利维亚比索,BOP
智利比索,CLP
阿根廷比索,ARP
巴拉圭瓜拉尼,PYG
乌拉圭新比索,UYP
埃及镑,EGP
利比亚第纳尔,LYD
苏丹镑,SDP
突尼斯第纳尔,TND
阿尔及利亚第纳尔,DZD
摩洛哥迪拉姆,MAD
乌吉亚,MRO
非共体法郎,XOF
非共体法郎,XOF
非共体法郎,XOF
非共体法郎,XOF
非共体法郎,XOF
非共体法郎,XOF
法拉西,GMD
几内亚比索,GWP
几内亚西里,GNS
利昂,SLL
利比里亚元,LRD
塞地,GHC
奈拉,NGN
中非金融合作法郎,XAF
中非金融合作法郎,XAF
中非金融合作法郎,XAF
中非金融合作法郎,XAF
中非金融合作法郎,XAF
赤道几内亚埃奎勒,GQE
兰特,ZAR
吉布提法郎,DJF
索马里先令,SOS
肯尼亚先令,KES
乌干达先令,UGS
坦桑尼亚先令,TZS
卢旺达法郎,RWF
布隆迪法郎,BIF
扎伊尔,ZRZ
赞比亚克瓦查,ZMK
马达加斯加法郎,MCF
塞舌尔卢比,SCR
毛里求斯卢比,MUR
津巴布韦元,ZWD
科摩罗法郎,KMF
澳大利亚元,AUD
新西兰元,NZD
斐济元,FJD
所罗门元,SBD
